fips,county,state,year,candidate,vote
5133,Sevier,Arkansas,2016,Trump,3282
5105,Perry,Arkansas,2016,Clinton,1049
5105,Perry,Arkansas,2016,Trump,3008
5041,Desha,Arkansas,2016,Clinton,2228
5041,Desha,Arkansas,2016,Trump,1919
5017,Chicot,Arkansas,2016,Clinton,2350
5017,Chicot,Arkansas,2016,Trump,1716
5109,Pike,Arkansas,2016,Clinton,685
5109,Pike,Arkansas,2016,Trump,3150
5079,Lincoln,Arkansas,2016,Clinton,1252
5079,Lincoln,Arkansas,2016,Trump,2455
5101,Newton,Arkansas,2016,Clinton,699
5101,Newton,Arkansas,2016,Trump,2875
5129,Searcy,Arkansas,2016,Clinton,601
5129,Searcy,Arkansas,2016,Trump,2955
5011,Bradley,Arkansas,2016,Clinton,1317
5011,Bradley,Arkansas,2016,Trump,2164
5097,Montgomery,Arkansas,2016,Clinton,748
5097,Montgomery,Arkansas,2016,Trump,2643
5127,Scott,Arkansas,2016,Clinton,602
5127,Scott,Arkansas,2016,Trump,2731
5117,Prairie,Arkansas,2016,Clinton,814
5117,Prairie,Arkansas,2016,Trump,2505
5025,Cleveland,Arkansas,2016,Clinton,723
5025,Cleveland,Arkansas,2016,Trump,2462
5099,Nevada,Arkansas,2016,Clinton,1157
5099,Nevada,Arkansas,2016,Trump,2000
5077,Lee,Arkansas,2016,Clinton,1735
5077,Lee,Arkansas,2016,Trump,1229
5095,Monroe,Arkansas,2016,Clinton,1312
5095,Monroe,Arkansas,2016,Trump,1489
5073,Lafayette,Arkansas,2016,Clinton,1032
5073,Lafayette,Arkansas,2016,Trump,1758
5039,Dallas,Arkansas,2016,Clinton,1165
5039,Dallas,Arkansas,2016,Trump,1509
5147,Woodruff,Arkansas,2016,Clinton,1118
5147,Woodruff,Arkansas,2016,Trump,1347
5013,Calhoun,Arkansas,2016,Clinton,639
5013,Calhoun,Arkansas,2016,Trump,1556
6037,Los Angeles,California,2016,Clinton,2464364
6037,Los Angeles,California,2016,Trump,769743
6073,San Diego,California,2016,Clinton,735476
6073,San Diego,California,2016,Trump,477766
6059,Orange,California,2016,Clinton,609961
6059,Orange,California,2016,Trump,507148
6065,Riverside,California,2016,Clinton,373695
6065,Riverside,California,2016,Trump,333243
6085,Santa Clara,California,2016,Clinton,511684
6085,Santa Clara,California,2016,Trump,144826
6001,Alameda,California,2016,Clinton,514842
6001,Alameda,California,2016,Trump,95922
6071,San Bernardino,California,2016,Clinton,340833
6071,San Bernardino,California,2016,Trump,271240
6067,Sacramento,California,2016,Clinton,326023
6067,Sacramento,California,2016,Trump,189789
6013,Contra Costa,California,2016,Clinton,319287
6013,Contra Costa,California,2016,Trump,115956
6075,San Francisco,California,2016,Clinton,345084
6075,San Francisco,California,2016,Trump,37688
6111,Ventura,California,2016,Clinton,194402
6111,Ventura,California,2016,Trump,132323
6081,San Mateo,California,2016,Clinton,237882
6081,San Mateo,California,2016,Trump,57929
6019,Fresno,California,2016,Clinton,141341
6019,Fresno,California,2016,Trump,124049
6029,Kern,California,2016,Clinton,98689
6029,Kern,California,2016,Trump,129584
6097,Sonoma,California,2016,Clinton,160435
6097,Sonoma,California,2016,Trump,51408
6077,San Joaquin,California,2016,Clinton,121124
6077,San Joaquin,California,2016,Trump,88936
6061,Placer,California,2016,Clinton,73509
6061,Placer,California,2016,Trump,95138
6083,Santa Barbara,California,2016,Clinton,107142
6083,Santa Barbara,California,2016,Trump,56365
6099,Stanislaus,California,2016,Clinton,81647
6099,Stanislaus,California,2016,Trump,78494
6095,Solano,California,2016,Clinton,102360
6095,Solano,California,2016,Trump,51920
6041,Marin,California,2016,Clinton,108707
6041,Marin,California,2016,Trump,21771
6079,San Luis Obispo,California,2016,Clinton,67107
6079,San Luis Obispo,California,2016,Trump,56164
6053,Monterey,California,2016,Clinton,89088
6053,Monterey,California,2016,Trump,34895
6087,Santa Cruz,California,2016,Clinton,95249
6087,Santa Cruz,California,2016,Trump,22438
6107,Tulare,California,2016,Clinton,47585
6107,Tulare,California,2016,Trump,58299
6007,Butte,California,2016,Clinton,41567
6007,Butte,California,2016,Trump,45144
6017,El Dorado,California,2016,Clinton,36404
6017,El Dorado,California,2016,Trump,49247
6113,Yolo,California,2016,Clinton,54752
6113,Yolo,California,2016,Trump,20739
6089,Shasta,California,2016,Clinton,22301
6089,Shasta,California,2016,Trump,51778
6047,Merced,California,2016,Clinton,37317
6047,Merced,California,2016,Trump,28725
6055,Napa,California,2016,Clinton,39199
6055,Napa,California,2016,Trump,17411
6023,Humboldt,California,2016,Clinton,33200
6023,Humboldt,California,2016,Trump,18373
6057,Nevada,California,2016,Clinton,26053
6057,Nevada,California,2016,Trump,23365
6025,Imperial,California,2016,Clinton,32667
6025,Imperial,California,2016,Trump,12704
6039,Madera,California,2016,Clinton,17029
6039,Madera,California,2016,Trump,23357
6045,Mendocino,California,2016,Clinton,22079
6045,Mendocino,California,2016,Trump,10888
6031,Kings,California,2016,Clinton,13617
6031,Kings,California,2016,Trump,18093
6101,Sutter,California,2016,Clinton,13076
6101,Sutter,California,2016,Trump,18176
6109,Tuolumne,California,2016,Clinton,9123
6109,Tuolumne,California,2016,Trump,14551
6033,Lake,California,2016,Clinton,11496
6033,Lake,California,2016,Trump,10599
6103,Tehama,California,2016,Clinton,6809
6103,Tehama,California,2016,Trump,15494
6009,Calaveras,California,2016,Clinton,7944
6009,Calaveras,California,2016,Trump,13511
6115,Yuba,California,2016,Clinton,7910
6115,Yuba,California,2016,Trump,13170
6069,San Benito,California,2016,Clinton,12521
6069,San Benito,California,2016,Trump,7841
6093,Siskiyou,California,2016,Clinton,7234
6093,Siskiyou,California,2016,Trump,11341
6005,Amador,California,2016,Clinton,6004
6005,Amador,California,2016,Trump,10485
6035,Lassen,California,2016,Clinton,2224
6035,Lassen,California,2016,Trump,7574
6063,Plumas,California,2016,Clinton,3459
6063,Plumas,California,2016,Trump,5420
6015,Del Norte,California,2016,Clinton,3485
6015,Del Norte,California,2016,Trump,5134
6021,Glenn,California,2016,Clinton,3065
6021,Glenn,California,2016,Trump,5788
6043,Mariposa,California,2016,Clinton,3122
6043,Mariposa,California,2016,Trump,5185
6027,Inyo,California,2016,Clinton,3155
6027,Inyo,California,2016,Trump,4248
6011,Colusa,California,2016,Clinton,2661
6011,Colusa,California,2016,Trump,3551
6105,Trinity,California,2016,Clinton,2214
6105,Trinity,California,2016,Trump,2812
6051,Mono,California,2016,Clinton,2773
6051,Mono,California,2016,Trump,2111
6049,Modoc,California,2016,Clinton,877
6049,Modoc,California,2016,Trump,2696
6091,Sierra,California,2016,Clinton,601
6091,Sierra,California,2016,Trump,1048
6003,Alpine,California,2016,Clinton,334
6003,Alpine,California,2016,Trump,217
8031,Denver,Colorado,2016,Clinton,244551
8031,Denver,Colorado,2016,Trump,62690
8059,Jefferson,Colorado,2016,Clinton,160776
8059,Jefferson,Colorado,2016,Trump,138177
8041,El Paso,Colorado,2016,Clinton,108010
8041,El Paso,Colorado,2016,Trump,179228
8005,Arapahoe,Colorado,2016,Clinton,159885
8005,Arapahoe,Colorado,2016,Trump,117053
8069,Larimer,Colorado,2016,Clinton,93113
8069,Larimer,Colorado,2016,Trump,83430
8001,Adams,Colorado,2016,Clinton,96558
8001,Adams,Colorado,2016,Trump,80082
8013,Boulder,Colorado,2016,Clinton,132334
8013,Boulder,Colorado,2016,Trump,41396
8035,Douglas,Colorado,2016,Clinton,68657
8035,Douglas,Colorado,2016,Trump,102573
8123,Weld,Colorado,2016,Clinton,46519
8123,Weld,Colorado,2016,Trump,76651
8101,Pueblo,Colorado,2016,Clinton,35875
8101,Pueblo,Colorado,2016,Trump,36265
8077,Mesa,Colorado,2016,Clinton,21729
8077,Mesa,Colorado,2016,Trump,49779
8014,Broomfield,Colorado,2016,Clinton,19731
8014,Broomfield,Colorado,2016,Trump,14367
8067,La Plata,Colorado,2016,Clinton,15525
8067,La Plata,Colorado,2016,Trump,12587
8045,Garfield,Colorado,2016,Clinton,11271
8045,Garfield,Colorado,2016,Trump,13132
8037,Eagle,Colorado,2016,Clinton,14099
8037,Eagle,Colorado,2016,Trump,8990
8043,Fremont,Colorado,2016,Clinton,5297
8043,Fremont,Colorado,2016,Trump,15122
8085,Montrose,Colorado,2016,Clinton,5466
8085,Montrose,Colorado,2016,Trump,14382
8029,Delta,Colorado,2016,Clinton,4087
8029,Delta,Colorado,2016,Trump,11655
8117,Summit,Colorado,2016,Clinton,9557
8117,Summit,Colorado,2016,Trump,5100
8039,Elbert,Colorado,2016,Clinton,3134
8039,Elbert,Colorado,2016,Trump,11705
8119,Teller,Colorado,2016,Clinton,3603
8119,Teller,Colorado,2016,Trump,9745
8107,Routt,Colorado,2016,Clinton,7600
8107,Routt,Colorado,2016,Trump,5230
8083,Montezuma,Colorado,2016,Clinton,3973
8083,Montezuma,Colorado,2016,Trump,7853
8087,Morgan,Colorado,2016,Clinton,3151
8087,Morgan,Colorado,2016,Trump,8145
8015,Chaffee,Colorado,2016,Clinton,4888
8015,Chaffee,Colorado,2016,Trump,5391
8097,Pitkin,Colorado,2016,Clinton,7333
8097,Pitkin,Colorado,2016,Trump,2550
8093,Park,Colorado,2016,Clinton,3421
8093,Park,Colorado,2016,Trump,6135
8075,Logan,Colorado,2016,Clinton,1851
8075,Logan,Colorado,2016,Trump,7282
8051,Gunnison,Colorado,2016,Clinton,5128
8051,Gunnison,Colorado,2016,Trump,3289
8049,Grand,Colorado,2016,Clinton,3358
8049,Grand,Colorado,2016,Trump,4494
8089,Otero,Colorado,2016,Clinton,2943
8089,Otero,Colorado,2016,Trump,4928
8007,Archuleta,Colorado,2016,Clinton,2500
8007,Archuleta,Colorado,2016,Trump,4264
8003,Alamosa,Colorado,2016,Clinton,3189
8003,Alamosa,Colorado,2016,Trump,3046
8071,Las Animas,Colorado,2016,Clinton,2650
8071,Las Animas,Colorado,2016,Trump,3710
8081,Moffat,Colorado,2016,Clinton,874
8081,Moffat,Colorado,2016,Trump,5305
8019,Clear Creek,Colorado,2016,Clinton,2729
8019,Clear Creek,Colorado,2016,Trump,2575
8105,Rio Grande,Colorado,2016,Clinton,2001
8105,Rio Grande,Colorado,2016,Trump,3085
8099,Prowers,Colorado,2016,Clinton,1186
8099,Prowers,Colorado,2016,Trump,3531
8125,Yuma,Colorado,2016,Clinton,726
8125,Yuma,Colorado,2016,Trump,3850
8113,San Miguel,Colorado,2016,Clinton,2975
8113,San Miguel,Colorado,2016,Trump,1033
8021,Conejos,Colorado,2016,Clinton,1771
8021,Conejos,Colorado,2016,Trump,1914
8055,Huerfano,Colorado,2016,Clinton,1633
8055,Huerfano,Colorado,2016,Trump,1883
8063,Kit Carson,Colorado,2016,Clinton,536
8063,Kit Carson,Colorado,2016,Trump,2967
8047,Gilpin,Colorado,2016,Clinton,1634
8047,Gilpin,Colorado,2016,Trump,1566
8103,Rio Blanco,Colorado,2016,Clinton,436
