fips,election,candidate,party,vote
1005,2000,John Hagelin,Independent,2
1133,2000,George W. Bush,Republican,6413
1133,2000,Albert Gore Jr.,Democratic,2692
1133,2000,Patrick Buchanan,Independent,91
1133,2000,Ralph Nader,Independent,88
1133,2000,Harry Browne,Libertarian,22
1133,2000,Howard Phillips,Independent,5
1133,2000,Write-ins,-,5
1133,2000,John Hagelin,Independent,2
1099,2000,George W. Bush,Republican,5153
1099,2000,Albert Gore Jr.,Democratic,3741
1099,2000,Ralph Nader,Independent,25
1099,2000,Patrick Buchanan,Independent,19
1099,2000,Harry Browne,Libertarian,11
1099,2000,Write-ins,-,2
1111,2000,George W. Bush,Republican,4666
1111,2000,Albert Gore Jr.,Democratic,3094
1111,2000,Ralph Nader,Independent,60
1111,2000,Patrick Buchanan,Independent,48
1111,2000,Harry Browne,Libertarian,39
1111,2000,Howard Phillips,Independent,8
1111,2000,John Hagelin,Independent,4
1107,2000,George W. Bush,Republican,4306
1107,2000,Albert Gore Jr.,Democratic,4143
1107,2000,Ralph Nader,Independent,39
1107,2000,Patrick Buchanan,Independent,23
1107,2000,Harry Browne,Libertarian,20
1107,2000,Howard Phillips,Independent,4
1107,2000,Write-ins,-,4
1107,2000,John Hagelin,Independent,1
1087,2000,Albert Gore Jr.,Democratic,7665
1087,2000,George W. Bush,Republican,1091
1087,2000,Ralph Nader,Independent,31
1087,2000,Harry Browne,Libertarian,20
1087,2000,Patrick Buchanan,Independent,10
1087,2000,Howard Phillips,Independent,6
1087,2000,John Hagelin,Independent,6
1087,2000,Write-ins,-,2
1007,2000,George W. Bush,Republican,4273
1007,2000,Albert Gore Jr.,Democratic,2710
1007,2000,Ralph Nader,Independent,52
1007,2000,Patrick Buchanan,Independent,36
1007,2000,Harry Browne,Libertarian,20
1007,2000,Howard Phillips,Independent,9
1007,2000,John Hagelin,Independent,1
1013,2000,George W. Bush,Republican,4127
1013,2000,Albert Gore Jr.,Democratic,3606
1013,2000,Ralph Nader,Independent,36
1013,2000,Harry Browne,Libertarian,19
1013,2000,Patrick Buchanan,Independent,9
1013,2000,Howard Phillips,Independent,3
1013,2000,Write-ins,-,3
1129,2000,George W. Bush,Republican,4117
1129,2000,Albert Gore Jr.,Democratic,3386
1129,2000,Patrick Buchanan,Independent,39
1129,2000,Ralph Nader,Independent,26
1129,2000,Harry Browne,Libertarian,22
1129,2000,Howard Phillips,Independent,3
1129,2000,John Hagelin,Independent,2
1129,2000,Write-ins,-,1
1057,2000,George W. Bush,Republican,4582
1057,2000,Albert Gore Jr.,Democratic,3064
1057,2000,Patrick Buchanan,Independent,68
1057,2000,Ralph Nader,Independent,60
1057,2000,Harry Browne,Libertarian,21
1057,2000,Howard Phillips,Independent,8
1057,2000,Write-ins,-,5
1067,2000,George W. Bush,Republican,4054
1067,2000,Albert Gore Jr.,Democratic,2782
1067,2000,Ralph Nader,Independent,48
1067,2000,Patrick Buchanan,Independent,18
1067,2000,Harry Browne,Libertarian,18
1067,2000,Howard Phillips,Independent,4
1067,2000,John Hagelin,Independent,4
1067,2000,Write-ins,-,4
1065,2000,Albert Gore Jr.,Democratic,4652
1065,2000,George W. Bush,Republican,2984
1065,2000,Ralph Nader,Independent,43
1065,2000,Patrick Buchanan,Independent,25
1065,2000,Harry Browne,Libertarian,17
1065,2000,John Hagelin,Independent,5
1065,2000,Howard Phillips,Independent,4
1065,2000,Write-ins,-,1
1023,2000,Albert Gore Jr.,Democratic,3707
1023,2000,George W. Bush,Republican,3600
1023,2000,Ralph Nader,Independent,33
1023,2000,Patrick Buchanan,Independent,17
1023,2000,Harry Browne,Libertarian,8
1023,2000,Write-ins,-,4
1023,2000,Howard Phillips,Independent,3
1023,2000,John Hagelin,Independent,2
1075,2000,George W. Bush,Republican,4470
1075,2000,Albert Gore Jr.,Democratic,2653
1075,2000,Ralph Nader,Independent,57
1075,2000,Patrick Buchanan,Independent,50
1075,2000,Harry Browne,Libertarian,6
1075,2000,Howard Phillips,Independent,6
1075,2000,Write-ins,-,6
1075,2000,John Hagelin,Independent,1
1085,2000,Albert Gore Jr.,Democratic,4557
1085,2000,George W. Bush,Republican,1638
1085,2000,Ralph Nader,Independent,18
1085,2000,Patrick Buchanan,Independent,11
1085,2000,Harry Browne,Libertarian,11
1085,2000,John Hagelin,Independent,4
1085,2000,Howard Phillips,Independent,3
1085,2000,Write-ins,-,1
1027,2000,George W. Bush,Republican,3719
1027,2000,Albert Gore Jr.,Democratic,2045
1027,2000,Ralph Nader,Independent,52
1027,2000,Harry Browne,Libertarian,32
1027,2000,Patrick Buchanan,Independent,30
1027,2000,Howard Phillips,Independent,4
1027,2000,John Hagelin,Independent,1
1029,2000,George W. Bush,Republican,3333
1029,2000,Albert Gore Jr.,Democratic,1664
1029,2000,Ralph Nader,Independent,39
1029,2000,Patrick Buchanan,Independent,32
1029,2000,Harry Browne,Libertarian,21
1029,2000,Write-ins,-,3
1035,2000,Albert Gore Jr.,Democratic,2783
1035,2000,George W. Bush,Republican,2699
1035,2000,Ralph Nader,Independent,35
1035,2000,Patrick Buchanan,Independent,21
1035,2000,Harry Browne,Libertarian,6
1035,2000,John Hagelin,Independent,3
1035,2000,Howard Phillips,Independent,2
1035,2000,Write-ins,-,2
1119,2000,Albert Gore Jr.,Democratic,4415
1119,2000,George W. Bush,Republican,1629
1119,2000,Ralph Nader,Independent,20
1119,2000,Harry Browne,Libertarian,10
1119,2000,Patrick Buchanan,Independent,7
1119,2000,Howard Phillips,Independent,5
1119,2000,Write-ins,-,2
1041,2000,George W. Bush,Republican,2793
1041,2000,Albert Gore Jr.,Democratic,1934
1041,2000,Ralph Nader,Independent,40
1041,2000,Patrick Buchanan,Independent,16
1041,2000,Harry Browne,Libertarian,9
1041,2000,Howard Phillips,Independent,2
1041,2000,Write-ins,-,1
1131,2000,Albert Gore Jr.,Democratic,3444
1131,2000,George W. Bush,Republican,1661
1131,2000,Ralph Nader,Independent,6
1131,2000,Write-ins,-,5
1131,2000,Patrick Buchanan,Independent,4
1131,2000,Harry Browne,Libertarian,4
1131,2000,Howard Phillips,Independent,2
1105,2000,Albert Gore Jr.,Democratic,4020
1105,2000,George W. Bush,Republican,1732
1105,2000,Ralph Nader,Independent,18
1105,2000,Patrick Buchanan,Independent,7
1105,2000,Harry Browne,Libertarian,7
1105,2000,John Hagelin,Independent,2
1105,2000,Howard Phillips,Independent,1
1037,2000,George W. Bush,Republican,2382
1037,2000,Albert Gore Jr.,Democratic,2104
1037,2000,Ralph Nader,Independent,34
1037,2000,Harry Browne,Libertarian,23
1037,2000,Patrick Buchanan,Independent,13
1037,2000,Howard Phillips,Independent,6
1037,2000,John Hagelin,Independent,4
1037,2000,Write-ins,-,1
1063,2000,Albert Gore Jr.,Democratic,3504
1063,2000,George W. Bush,Republican,850
1063,2000,Ralph Nader,Independent,24
1063,2000,Harry Browne,Libertarian,8
1063,2000,Howard Phillips,Independent,4
1063,2000,Patrick Buchanan,Independent,3
1063,2000,John Hagelin,Independent,2
1063,2000,Write-ins,-,1
1011,2000,Albert Gore Jr.,Democratic,3395
1011,2000,George W. Bush,Republican,1433
1011,2000,Harry Browne,Libertarian,34
1011,2000,Ralph Nader,Independent,24
1011,2000,Patrick Buchanan,Independent,8
1011,2000,Howard Phillips,Independent,5
1011,2000,John Hagelin,Independent,4
1011,2000,Write-ins,-,1
4013,2000,George W. Bush,Republican,479967
4013,2000,Albert Gore Jr.,Democratic,386683
4013,2000,Ralph Nader,Green,22465
4013,2000,Patrick Buchanan,Reform,7156
4013,2000,L. Neil Smith,Libertarian,2985
4013,2000,Write-ins,-,1891
4013,2000,John Hagelin,Natural Law,494
4013,2000,Howard Phillips,Write-in,58
4019,2000,Albert Gore Jr.,Democratic,147688
4019,2000,George W. Bush,Republican,124579
4019,2000,Ralph Nader,Green,12355
4019,2000,Patrick Buchanan,Reform,1731
4019,2000,L. Neil Smith,Libertarian,1046
4019,2000,John Hagelin,Natural Law,205
4019,2000,Howard Phillips,Write-in,36
4021,2000,George W. Bush,Republican,20122
4021,2000,Albert Gore Jr.,Democratic,19650
4021,2000,Ralph Nader,Green,904
4021,2000,Patrick Buchanan,Reform,442
4021,2000,L. Neil Smith,Libertarian,136
4021,2000,John Hagelin,Natural Law,36
4025,2000,George W. Bush,Republican,40144
4025,2000,Albert Gore Jr.,Democratic,24063
4025,2000,Ralph Nader,Green,2733
4025,2000,Patrick Buchanan,Reform,749
4025,2000,L. Neil Smith,Libertarian,261
4025,2000,Write-ins,-,146
4025,2000,John Hagelin,Natural Law,125
4025,2000,Howard Phillips,Write-in,7
4015,2000,George W. Bush,Republican,24386
4015,2000,Albert Gore Jr.,Democratic,17470
4015,2000,Ralph Nader,Green,1323
4015,2000,Patrick Buchanan,Reform,622
4015,2000,L. Neil Smith,Libertarian,291
4015,2000,John Hagelin,Natural Law,44
4015,2000,Howard Phillips,Write-in,5
4005,2000,Albert Gore Jr.,Democratic,20280
4005,2000,George W. Bush,Republican,17562
4005,2000,Ralph Nader,Green,2478
4005,2000,L. Neil Smith,Libertarian,252
4005,2000,Patrick Buchanan,Reform,244
4005,2000,John Hagelin,Natural Law,66
4005,2000,Howard Phillips,Write-in,1
4027,2000,George W. Bush,Republican,15708
4027,2000,Albert Gore Jr.,Democratic,12055
4027,2000,Ralph Nader,Green,495
4027,2000,Patrick Buchanan,Reform,216
4027,2000,L. Neil Smith,Libertarian,157
4027,2000,John Hagelin,Natural Law,21
4003,2000,George W. Bush,Republican,18180
